model,train-dataset,test-settings,n_samples,pattern,matches,match_percentage
pcfg,taobao,all-12-100-80,500000000,r3,828284,0.17
pcfg,taobao,all-12-100-80,500000000,r4,2146559,0.43
pcfg,taobao,all-12-100-80,500000000,r5,151,0.0
pcfg,taobao,all-12-100-80,500000000,r6,473309863,94.66
pcfg,taobao,all-12-100-80,500000000,r7,345661,0.07
pcfg,taobao,all-12-100-80,500000000,r8,533346,0.11
pcfg,taobao,all-12-100-80,500000000,r9,881492,0.18
pcfg,taobao,all-12-100-80,500000000,r10,446310918,89.26
pcfg,taobao,all-12-100-80,500000000,r11,194306,0.04
pcfg,taobao,all-12-100-80,500000000,r12,318607,0.06
pcfg,taobao,all-12-100-80,500000000,r13,454848,0.09
pcfg,taobao,all-12-100-80,500000000,r14,3476808,0.7
pcfg,taobao,all-12-100-80,500000000,r15,3862,0.0
pcfg,taobao,all-12-100-80,500000000,r16,5943,0.0
pcfg,taobao,all-12-100-80,500000000,r17,30276,0.01
pcfg,taobao,all-12-100-80,500000000,r18,3153,0.0
pcfg,taobao,all-12-100-80,500000000,r19,51754898,10.35
pcfg,mailru,all-12-100-80,500000000,r1,83606156,16.72
pcfg,mailru,all-12-100-80,500000000,r2,9095630,1.82
pcfg,mailru,all-12-100-80,500000000,r3,502026,0.1
pcfg,mailru,all-12-100-80,500000000,r4,381034,0.08
pcfg,mailru,all-12-100-80,500000000,r5,98,0.0
pcfg,mailru,all-12-100-80,500000000,r6,404410106,80.88
pcfg,mailru,all-12-100-80,500000000,r7,3270004,0.65
pcfg,mailru,all-12-100-80,500000000,r8,4966668,0.99
pcfg,mailru,all-12-100-80,500000000,r9,3365934,0.67
pcfg,mailru,all-12-100-80,500000000,r10,233966248,46.79
pcfg,mailru,all-12-100-80,500000000,r11,1575317,0.32
pcfg,mailru,all-12-100-80,500000000,r12,5227434,1.05
pcfg,mailru,all-12-100-80,500000000,r13,2002060,0.4
pcfg,mailru,all-12-100-80,500000000,r14,18511268,3.7
pcfg,mailru,all-12-100-80,500000000,r15,458312,0.09
pcfg,mailru,all-12-100-80,500000000,r16,454518,0.09
pcfg,mailru,all-12-100-80,500000000,r17,642088,0.13
pcfg,mailru,all-12-100-80,500000000,r18,143514,0.03
pcfg,mailru,all-12-100-80,500000000,r19,29277781,5.86
