model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
pcfg,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,75000000,2054935,23.67%
pcfg,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,100000000,2232263,25.72%
pcfg,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,250000000,2766861,31.88%
pcfg,linkedin,all-10-100-80,27ae52bf1697d296221269ac43003c87,8680184,500000000,3155333,36.35%
pcfg,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,1000000,13483,18.8%
pcfg,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,2500000,16353,22.8%
pcfg,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,5000000,18430,25.69%
pcfg,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,7500000,19738,27.52%
pcfg,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,10000000,20523,28.61%
pcfg,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,25000000,23182,32.32%
pcfg,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,50000000,25356,35.35%
pcfg,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,75000000,26505,36.95%
pcfg,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,100000000,27172,37.88%
pcfg,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,250000000,29219,40.73%
pcfg,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,500000000,30564,42.61%
pcfg,rockyou,all-10-100-80,c678ecd5cf679a482c07172301205318,3089240,1000000,259014,8.38%
pcfg,rockyou,all-10-100-80,c678ecd5cf679a482c07172301205318,3089240,2500000,353452,11.44%
pcfg,rockyou,all-10-100-80,c678ecd5cf679a482c07172301205318,3089240,5000000,587345,19.01%
pcfg,rockyou,all-10-100-80,c678ecd5cf679a482c07172301205318,3089240,7500000,768256,24.87%
pcfg,rockyou,all-10-100-80,c678ecd5cf679a482c07172301205318,3089240,10000000,849631,27.5%
pcfg,rockyou,all-10-100-80,c678ecd5cf679a482c07172301205318,3089240,25000000,1025448,33.19%
pcfg,rockyou,all-10-100-80,c678ecd5cf679a482c07172301205318,3089240,50000000,1136018,36.77%
pcfg,rockyou,all-10-100-80,c678ecd5cf679a482c07172301205318,3089240,75000000,1198412,38.79%
pcfg,rockyou,all-10-100-80,c678ecd5cf679a482c07172301205318,3089240,100000000,1240217,40.14%
pcfg,rockyou,all-10-100-80,c678ecd5cf679a482c07172301205318,3089240,250000000,1367304,44.26%
pcfg,rockyou,all-10-100-80,c678ecd5cf679a482c07172301205318,3089240,500000000,1461338,47.3%
pcfg,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,1000000,83842,19.43%
pcfg,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,2500000,107541,24.92%
pcfg,mailru,all-10-100-80,27942e439d2c91fab1f6d57eb0bbbb0f,431536,5000000,120937,28.02%
